Step,Upstream Flow,Downstream Flow,Bottleneck Occupancy,Downstream Occupancy,Queue Length,TTS
0,0.0,0.0,0.0,0.0,1,0.0
20,0.0,0.0,0.0,0.0,1,0.0
40,0.0,180.0,3.5538755782494214,3.343753685079894,2,0.0
60,360.0,180.0,3.6781619059072845,2.9102345577765476,3,0.0
80,360.0,180.0,10.690782709137281,4.337578759168774,6,0.0
100,720.0,360.0,5.413152884190708,14.237069451580453,4,0.0
120,180.0,540.0,7.345852176727341,17.393450830278805,2,0.0
140,720.0,360.0,9.653622471864054,10.811345172336454,2,0.0
160,720.0,180.0,14.35356181002092,5.378156659845009,3,0.0
180,360.0,360.0,13.484532239347047,16.700360724676482,2,0.0
200,0.0,540.0,12.56369012149925,21.929790753247385,1,0.0
220,180.0,360.0,4.530935256108037,9.566979469188178,1,0.0
240,1080.0,180.0,0.8248993241441127,10.787822700490798,3,0.0
260,360.0,540.0,12.685837753619467,23.94784264127736,4,0.0
280,540.0,360.0,6.243684306914332,12.399994092265842,4,0.0
300,540.0,360.0,17.630759362635473,17.465197161398766,4,0.0
320,720.0,0.0,9.87461172832198,0.0,3,0.0
340,360.0,360.0,4.322633236185425,15.608924375187408,5,0.0
360,720.0,180.0,21.426648036852214,11.839169599022625,4,0.0
380,720.0,360.0,0.0,27.51767101642694,4,0.0
400,540.0,540.0,31.18906002048405,35.17927110466227,6,0.0
420,360.0,360.0,9.163976399261031,14.268422414090765,9,0.0
440,540.0,540.0,14.168812070586512,17.414666676791057,9,0.0
460,900.0,360.0,0.0,10.757104871034548,8,0.0
480,720.0,360.0,6.268633116154376,14.068899963981115,6,0.0
500,360.0,360.0,5.315940538071118,10.935928634631864,6,0.0
520,720.0,360.0,3.9797802566582163,21.381852298219428,6,0.0
540,720.0,540.0,15.77115628412571,31.19067972924275,4,0.0
560,540.0,360.0,39.08792755633783,17.820597187204612,3,0.0
580,540.0,540.0,11.978854123235294,26.832662055274643,5,0.0
600,720.0,540.0,21.522402853489098,16.62283101132971,5,0.0
620,900.0,360.0,27.268420604603705,19.715318158582324,6,0.0
640,1080.0,360.0,6.069263036739869,16.7264847924874,6,0.0
660,540.0,180.0,17.007356562288578,11.277106637332205,6,0.0
680,900.0,180.0,7.402016278641099,2.1518362085278873,7,0.0
700,540.0,180.0,12.439163008382081,6.888477212989604,9,0.0
720,540.0,360.0,10.584919212328714,16.62698239977658,9,0.0
740,360.0,360.0,9.502444631836227,27.95996182080292,7,0.0
760,720.0,540.0,14.610103195283841,18.619627904666913,7,0.0
780,900.0,360.0,8.402564639995092,19.77643790619747,8,0.0
800,360.0,180.0,21.28631275650008,9.01786922013533,8,0.0
820,720.0,180.0,21.10686818131171,8.185426725831727,6,0.0
840,180.0,360.0,15.210403437254172,5.666961836160074,4,0.0
860,360.0,360.0,6.579889076147083,11.886256455024599,4,0.0
880,720.0,360.0,46.373540810699865,17.146259082392135,4,0.0
900,360.0,540.0,5.679732843393026,31.159398946742083,3,0.0
920,540.0,360.0,16.725338673765577,17.61396401689505,7,0.0
940,540.0,360.0,22.58111318064948,22.833474489150756,9,0.0
960,720.0,540.0,16.173812355015116,31.557321859289306,14,0.0
980,540.0,540.0,12.153909314491784,25.680862321992965,13,0.0
1000,720.0,180.0,36.836717484868586,8.792299972985044,15,0.0
1020,360.0,360.0,30.28970860485032,18.61644416605562,14,0.0
1040,900.0,360.0,9.047820594781797,17.939392934253345,13,0.0
1060,720.0,540.0,24.221865703339063,31.429220679668408,13,0.0
1080,720.0,360.0,0.0,28.43965246285431,14,0.0
1100,540.0,360.0,26.666747299645976,20.973093361086132,13,0.0
1120,540.0,360.0,6.205223960077433,10.669780365985085,14,0.0
1140,540.0,360.0,5.76319603476918,16.43150309014345,15,0.0
1160,360.0,540.0,12.323357885017572,23.824282838719075,16,0.0
1180,720.0,180.0,8.783832689488236,9.807274547108591,17,0.0
1200,360.0,180.0,11.825726427110794,3.362359588076439,15,0.0
1220,720.0,540.0,16.007728776725116,23.433438229562853,14,0.0
1240,540.0,360.0,41.33977625648129,3.8616974912505007,12,0.0
1260,540.0,180.0,16.596931534814985,18.025974397539812,14,0.0
1280,720.0,360.0,13.09924830714806,9.001927148578185,14,0.0
1300,540.0,540.0,22.828554626275377,25.92893489755473,13,0.0
1320,540.0,540.0,13.365461270001333,26.05374044674515,14,0.0
1340,540.0,360.0,19.54862665809287,22.848249034833163,13,0.0
1360,360.0,360.0,17.787897957143173,16.15949348618339,14,0.0
1380,540.0,180.0,23.152199917200278,2.215494218766404,14,0.0
1400,540.0,180.0,3.4284662900034846,9.555627027316405,15,0.0
1420,540.0,360.0,2.4129203505395935,19.236073400990488,13,0.0
1440,360.0,540.0,29.180619269567387,20.820526081164797,13,0.0
1460,360.0,540.0,17.902227134320015,16.005310284204672,14,0.0
1480,720.0,540.0,7.802785537913337,27.829906749252586,13,0.0
1500,720.0,180.0,26.94977063977433,1.711211312821585,14,0.0
1520,720.0,180.0,4.284569231452906,1.8711164573384547,12,0.0
1540,540.0,180.0,14.713142285623348,7.83460988892557,14,0.0
1560,720.0,360.0,19.917787364855144,16.45763969735678,13,0.0
1580,720.0,540.0,12.582687430537476,23.274804143773054,13,0.0
1600,360.0,180.0,29.842435076784568,8.745294827629854,13,0.0
1620,720.0,360.0,9.34459787067965,18.695469915595215,13,0.0
1640,180.0,180.0,12.566875364660746,10.562350978041954,13,0.0
1660,540.0,180.0,9.470326838899723,10.890352724175045,16,0.0
1680,360.0,360.0,0.0,23.344602809811477,14,0.0
1700,360.0,360.0,15.703730117766668,25.18711428806834,16,0.0
1720,540.0,360.0,9.64630939009794,18.16107934878346,14,0.0
1740,1080.0,180.0,27.23824436533846,7.15226597272931,14,0.0
1760,540.0,540.0,30.679294153318892,36.86228566047779,14,0.0
1780,360.0,180.0,2.8232198446886514,1.432239083086036,12,0.0
1800,180.0,540.0,10.51240337071988,33.232532978267194,14,0.0
1820,360.0,540.0,9.304196298475631,29.066563452723432,14,0.0
1840,540.0,360.0,18.67328099379222,9.763949164027963,13,0.0
1860,360.0,360.0,28.830042016514312,18.616907818735246,12,0.0
1880,720.0,540.0,29.27645491014914,26.102952005934792,13,0.0
1900,360.0,360.0,28.831150605969924,12.023531276906851,15,0.0
1920,540.0,540.0,3.7755284384047627,27.278231891466476,16,0.0
1940,360.0,360.0,22.43950539731543,20.608098160687405,17,0.0
1960,540.0,180.0,14.44351277219198,8.234398023675263,17,0.0
1980,540.0,540.0,33.08495197676962,30.945535448283106,15,0.0
2000,720.0,540.0,19.237736213244716,21.07076272680312,13,0.0
2020,720.0,360.0,16.31357123197006,15.61048362522115,14,0.0
2040,540.0,540.0,29.855357307948793,27.911179675447784,13,0.0
2060,720.0,180.0,0.0,8.655574533008803,14,0.0
2080,720.0,360.0,15.931954347064448,11.995921777535537,14,0.0
2100,540.0,360.0,14.058694233142432,19.49867751520742,15,0.0
2120,540.0,540.0,15.176820414603753,29.3189601352348,14,0.0
2140,900.0,360.0,23.857617050401814,15.550337267889821,15,0.0
2160,720.0,540.0,13.528818520052255,25.675019291793433,11,0.0
2180,900.0,360.0,31.882242714470976,13.986922042082975,14,0.0
2200,540.0,360.0,33.2733761638508,14.744032478438385,13,0.0
2220,540.0,360.0,23.26520702323478,13.320557663572194,13,0.0
2240,540.0,360.0,14.066779353140646,22.975240189733388,11,0.0
2260,720.0,360.0,21.050718919286737,31.620376381139675,11,0.0
2280,360.0,360.0,10.803793836913655,26.44127894302528,12,0.0
2300,540.0,180.0,17.844402689240724,10.72011170656424,11,0.0
2320,360.0,180.0,8.679640737727823,7.276864854740476,11,0.0
2340,900.0,540.0,7.321914148110409,16.04755336938979,12,0.0
2360,180.0,360.0,27.133283602489655,13.457490337267094,14,0.0
2380,900.0,360.0,21.95887173392066,20.529993990483792,16,0.0
2400,900.0,540.0,22.20832928632035,31.96694748000179,18,0.0
2420,360.0,540.0,8.622513012909394,25.544092368060472,15,0.0
2440,720.0,540.0,21.695744578164522,34.656671653669946,15,0.0
2460,720.0,540.0,0.0,31.508427833803882,11,0.0
2480,540.0,0.0,0.0,0.0,12,0.0
2500,360.0,540.0,44.13397538646109,28.255425050269878,14,0.0
2520,540.0,540.0,35.066797489787405,34.22253856417683,14,0.0
2540,180.0,360.0,16.306947153697138,25.738605227070366,16,0.0
2560,360.0,360.0,7.703340600130559,19.711092384667,15,0.0
2580,1080.0,540.0,34.84054544399555,18.370549694615573,16,0.0
2600,540.0,360.0,5.61770341320198,11.540972852200563,14,0.0
2620,540.0,360.0,12.836391407199699,18.440211110525222,13,0.0
2640,900.0,540.0,8.040459687111934,12.430272407467177,16,0.0
2660,360.0,360.0,33.2019319970982,14.33917851430427,15,0.0
2680,540.0,360.0,23.80963908166791,14.398467173153525,14,0.0
2700,540.0,360.0,25.314391287730587,24.589462443373122,14,0.0
2720,720.0,360.0,37.540604050849424,7.529534321126145,16,0.0
2740,720.0,180.0,20.97062214938319,10.29450915251194,14,0.0
2760,900.0,360.0,20.75273308644796,11.726051883457936,14,0.0
2780,360.0,360.0,11.662654787039628,32.12013302853999,14,0.0
2800,540.0,540.0,2.3601782738580823,25.05706247152375,14,0.0
2820,540.0,540.0,39.59079397799883,34.87983884009888,15,0.0
2840,180.0,540.0,42.900291154171555,27.868817934457486,15,0.0
2860,360.0,540.0,20.26482335565447,22.77134945884427,17,0.0
2880,720.0,360.0,37.51254403448456,17.36579433628928,16,0.0
2900,720.0,360.0,9.08121237348496,15.207869016944642,18,0.0
2920,540.0,180.0,26.631959819735584,7.2020818470567365,16,0.0
2940,720.0,360.0,36.82827317327906,17.29963357482423,15,0.0
2960,540.0,180.0,10.614506704928317,5.209719064214369,15,0.0
2980,540.0,540.0,0.0,34.423637703434906,15,0.0
3000,180.0,360.0,34.869067431367284,18.03654570225414,15,0.0
3020,900.0,180.0,36.55048406683363,9.533515069423023,12,0.0
3040,720.0,360.0,11.55245431386902,20.58619440271438,12,0.0
3060,360.0,180.0,19.36988382573759,7.010256690076251,12,0.0
3080,360.0,540.0,28.755713353291412,23.000719475264003,13,0.0
3100,540.0,540.0,26.77928724042431,17.344150106312856,15,0.0
3120,900.0,360.0,34.046883401828154,24.17557003996838,16,0.0
3140,540.0,540.0,16.93698637113812,29.009177896637084,15,0.0
3160,540.0,360.0,4.900386506056975,17.79165390620013,17,0.0
3180,540.0,360.0,41.476847000973294,16.544899223026732,16,0.0
3200,720.0,0.0,32.89287686120588,0.0,17,0.0
3220,900.0,360.0,9.394006351203643,18.259655702960725,16,0.0
3240,360.0,540.0,24.218143836543504,26.50478892777149,16,0.0
3260,540.0,540.0,22.582160133754314,14.784483041883808,13,0.0
3280,900.0,360.0,11.416390274092691,13.94965816638584,13,0.0
3300,720.0,360.0,25.700291614879234,22.33456512574321,14,0.0
3320,540.0,360.0,20.716629078975757,19.650206731284925,15,0.0
3340,720.0,360.0,18.35884227246538,19.40142033471754,15,0.0
3360,540.0,360.0,19.579454968294385,16.735702256793655,16,0.0
3380,900.0,180.0,7.9462894846983545,7.368951216896373,16,0.0
3400,180.0,540.0,28.915236310064074,26.505078717733948,15,0.0
3420,540.0,360.0,36.212630973687965,20.095225428235608,12,0.0
3440,720.0,360.0,25.455323303242494,15.22643288302182,14,0.0
3460,360.0,180.0,13.858315971287993,10.12542158512133,15,0.0
3480,540.0,180.0,11.182629431317537,6.400999971280423,14,0.0
3500,720.0,360.0,6.217460886796289,10.622958780065042,16,0.0
3520,900.0,540.0,25.027980216367496,23.0402029547425,15,0.0
3540,360.0,360.0,10.556088374204364,23.76847380307178,17,0.0
3560,720.0,360.0,9.70695378612163,9.206876155341584,15,0.0
3580,900.0,540.0,0.0,28.07781231665558,14,0.0
3600,540.0,180.0,36.90430035272243,8.617467225963082,13,0.0
3620,720.0,360.0,2.3449300165736986,24.05643818946525,15,0.0
3640,720.0,540.0,9.801616007109715,41.23659404922364,14,0.0
3660,900.0,360.0,38.95357969583415,21.70383342443074,17,0.0
3680,540.0,540.0,9.467030588280068,28.21770693689511,16,0.0
3700,540.0,180.0,1.0792132887331718,12.450055664809648,16,0.0
3720,720.0,360.0,19.539742221030565,24.83012744097171,13,0.0
3740,540.0,540.0,30.105633553642974,33.98026734791225,15,0.0
3760,540.0,540.0,50.0,34.11858165946645,15,0.0
3780,720.0,180.0,6.818113298004391,6.450230889117847,14,0.0
3800,720.0,540.0,42.891637826448914,25.855437493047855,13,0.0
3820,540.0,540.0,23.172327773011148,16.220838376170832,14,0.0
3840,540.0,360.0,12.908962942316293,27.02120440320262,14,0.0
3860,540.0,540.0,22.35637438238882,32.69767879476907,13,0.0
3880,180.0,360.0,53.55179377787067,35.621745069238386,14,0.0
3900,900.0,180.0,14.794238506607371,8.114531660650451,14,0.0
3920,720.0,360.0,50.0,17.657420014385632,13,0.0
3940,720.0,540.0,11.611652963216557,22.139301182323834,13,0.0
3960,720.0,180.0,21.66296292244283,6.187203101376326,14,0.0
3980,720.0,360.0,1.3623703509779261,14.282972461561863,12,0.0
4000,720.0,540.0,12.773482981492634,21.166903516344366,14,0.0
4020,540.0,360.0,27.892564300873346,14.419880209576755,12,0.0
4040,900.0,360.0,19.537487729348868,13.467852856297213,14,0.0
4060,540.0,540.0,33.77035342606405,28.049671950824024,15,0.0
4080,360.0,540.0,7.704594245893759,27.410150451002362,14,0.0
4100,540.0,360.0,40.89061216157006,9.141764894760248,15,0.0
4120,720.0,180.0,9.569539695530693,2.429753892192821,16,0.0
4140,360.0,360.0,7.097329155453735,18.412613858375455,13,0.0
4160,540.0,540.0,18.417103442811822,21.808777780309658,14,0.0
4180,360.0,180.0,12.2571254462855,10.163462848064833,14,0.0
4200,360.0,180.0,35.632817494865776,9.48103238317041,12,0.0
4220,720.0,360.0,24.91919402647227,18.39433312819286,14,0.0
4240,360.0,360.0,25.835834809709013,16.413169626487917,13,0.0
4260,720.0,540.0,9.213495997039445,33.11426866322714,13,0.0
4280,900.0,360.0,19.71925946296551,30.988490162629507,12,0.0
4300,720.0,180.0,11.150624150286603,3.631641956523405,13,0.0
4320,720.0,540.0,50.0,32.18598034753389,15,0.0
4340,360.0,360.0,27.746536578945324,11.390252241744747,17,0.0
4360,720.0,540.0,33.61453077375245,14.940823717673387,17,0.0
4380,540.0,540.0,19.554135050475452,27.130184132617313,17,0.0
4400,540.0,360.0,3.3994725918091717,12.698797610543503,16,0.0
4420,720.0,180.0,20.59168529577846,4.555085098551596,14,0.0
4440,360.0,360.0,18.851658459550436,14.725453055719603,13,0.0
4460,540.0,540.0,17.530780506206156,53.26447656049519,14,0.0
4480,540.0,180.0,12.308515057270597,20.4316149375245,16,0.0
4500,720.0,540.0,28.798786032825774,37.70905906011043,16,0.0
4520,180.0,540.0,11.272068832738569,34.76309801778067,15,0.0
4540,540.0,360.0,12.099821649110254,10.014860182263874,14,0.0
4560,720.0,540.0,13.081191987271268,35.908603307052545,15,0.0
4580,540.0,360.0,9.580537332055883,19.294452265709577,18,0.0
4600,720.0,360.0,11.917780871408468,15.333905231273093,18,0.0
4620,540.0,540.0,29.905379174670088,21.8936334543893,15,0.0
4640,720.0,360.0,5.685362066014932,18.1628110480536,15,0.0
4660,540.0,540.0,16.822425760324222,14.426558782012458,14,0.0
4680,540.0,180.0,24.556191739713995,5.883131177430793,14,0.0
4700,540.0,360.0,18.898317994489844,22.177815424023112,16,0.0
4720,540.0,180.0,23.345231008750034,6.6676649801289996,14,0.0
4740,180.0,360.0,7.09905069039678,15.599956049330407,13,0.0
4760,540.0,360.0,0.0,23.482149775903356,13,0.0
4780,720.0,360.0,28.78565003896938,13.36067222797889,13,0.0
4800,720.0,180.0,5.744240160083791,5.831458775249605,12,0.0
4820,1080.0,360.0,25.97298666171355,17.710215526464406,13,0.0
4840,900.0,360.0,11.557762031191032,14.856271678642466,16,0.0
4860,720.0,360.0,22.338351800794953,13.125438811509108,16,0.0
4880,180.0,180.0,26.44039289259581,1.3602854189381712,17,0.0
4900,720.0,360.0,24.20490303115912,17.158883899764987,17,0.0
4920,720.0,180.0,33.58041515700734,8.658940780863608,16,0.0
4940,180.0,360.0,5.325547061897851,23.79653129696635,15,0.0
4960,360.0,540.0,0.6765832341898204,18.62551135236572,15,0.0
4980,900.0,360.0,18.053752095022446,7.930431874592614,15,0.0
5000,720.0,360.0,25.14503893279425,9.517720541013356,14,0.0
5020,360.0,540.0,41.619084033254694,43.35506781358163,14,0.0
5040,720.0,540.0,16.946370018536072,26.044723574947664,16,0.0
5060,540.0,360.0,11.183381622925026,17.817085577371472,16,0.0
5080,540.0,540.0,33.383019063387565,24.200739862514336,16,0.0
5100,720.0,0.0,12.119603915641619,0.0,14,0.0
5120,540.0,180.0,21.45901986842773,1.047693541825841,16,0.0
5140,180.0,360.0,18.758249128109128,20.727786036741236,13,0.0
5160,540.0,540.0,50.0,28.51331763423938,10,0.0
5180,180.0,540.0,0.0,35.46929183753491,11,0.0
5200,360.0,540.0,10.510879274693252,32.53188824025225,13,0.0
5220,540.0,540.0,4.926657680073276,32.12190650210687,12,0.0
5240,540.0,360.0,23.450168418366957,23.79122824948657,13,0.0
5260,540.0,180.0,27.292673484419083,0.16953057885681724,14,0.0
5280,720.0,360.0,26.14191316573624,19.66414024201792,12,0.0
5300,360.0,540.0,15.466821884763249,33.95194940111045,14,0.0
5320,540.0,180.0,8.375087078741217,6.051742047581381,14,0.0
5340,900.0,540.0,11.46305378682655,26.330676100981993,16,0.0
5360,180.0,360.0,18.17759434098889,10.302777227282908,16,0.0
5380,360.0,360.0,15.135891407055624,18.345461130199208,16,0.0
5400,360.0,540.0,7.949689331337595,20.473147644603767,16,0.0
5420,720.0,360.0,9.607897278067412,18.730350000214457,15,0.0
5440,720.0,540.0,12.019960337556768,24.961929043138298,16,0.0
5460,540.0,540.0,10.869622065740714,31.994036992515856,17,0.0
5480,900.0,180.0,22.717111927306632,17.617755998541423,18,0.0
5500,540.0,540.0,21.27228650890629,31.266710319247675,16,0.0
5520,540.0,360.0,7.713169176156498,22.497043576625703,16,0.0
5540,180.0,180.0,14.108176737886424,11.114216198939175,15,0.0
5560,540.0,540.0,27.23991201089575,34.5667104124459,15,0.0
5580,720.0,180.0,32.19265082492484,0.14600446080900534,13,0.0
5600,360.0,360.0,16.428957699122293,24.514230769727874,14,0.0
5620,720.0,540.0,17.905091318812083,22.23756120639943,14,0.0
5640,720.0,360.0,10.833472083572815,21.53273939814729,13,0.0
5660,540.0,360.0,22.41276600545916,10.775850502401832,13,0.0
5680,720.0,0.0,17.923998115577433,0.0,13,0.0
5700,720.0,180.0,0.0,9.817292018199927,14,0.0
5720,540.0,540.0,8.2665901188534,29.361544523771954,12,0.0
5740,360.0,360.0,25.0,26.79903421308154,11,0.0
5760,540.0,540.0,18.265524572655067,9.643055082536497,12,0.0
5780,540.0,540.0,28.14248896971776,24.077486665995213,13,0.0
5800,540.0,180.0,16.56585989379664,10.618323968204399,15,0.0
5820,540.0,360.0,20.611897079493247,14.461991174615227,16,0.0
5840,540.0,540.0,15.325913649473932,34.79237873139027,16,0.0
5860,360.0,180.0,0.0,12.156734993520027,16,0.0
5880,720.0,540.0,7.664276834555039,30.856029514476784,13,0.0
5900,360.0,540.0,25.523647079432976,20.29201663405426,13,0.0
5920,540.0,0.0,0.7513391546012826,0.0,12,0.0
5940,720.0,360.0,35.72806349613984,16.254520119597753,15,0.0
5960,540.0,360.0,15.03414057573309,11.684682986424377,17,0.0
5980,360.0,360.0,36.47062628705271,17.81516415602103,16,0.0
6000,720.0,540.0,33.08080756161189,22.78492866820064,15,0.0
6020,540.0,540.0,30.6704965485892,27.448276576175584,15,0.0
6040,540.0,360.0,17.798260717825087,11.093419810655783,15,0.0
6060,720.0,360.0,12.858819057635174,11.797242519135883,13,0.0
6080,720.0,360.0,21.684749909309176,13.044281196819915,15,0.0
6100,900.0,540.0,22.168854926485437,25.28865515050711,13,0.0
6120,540.0,360.0,37.30076017764077,14.504176024790164,12,0.0
6140,720.0,540.0,18.095214119671255,28.98100164643438,11,0.0
6160,720.0,540.0,0.0,16.763646842673552,14,0.0
6180,720.0,540.0,24.774345505352358,33.17465724009404,12,0.0
6200,900.0,540.0,36.47108677586175,15.64194609131846,14,0.0
6220,720.0,540.0,27.488999793717994,24.436468551266444,14,0.0
6240,540.0,360.0,16.47085502243044,18.66328495784728,14,0.0
6260,720.0,180.0,3.206252885797767,7.620559539236638,12,0.0
6280,720.0,540.0,37.693455096621165,13.577217598988986,14,0.0
6300,540.0,360.0,31.286471500550306,8.963357876245936,16,0.0
6320,900.0,360.0,37.48846264494432,16.25416724726468,16,0.0
6340,540.0,540.0,12.5,34.24885031530115,15,0.0
6360,720.0,180.0,11.78900679516346,8.792668500791478,15,0.0
6380,900.0,180.0,21.65769296733515,0.26904250432077487,15,0.0
6400,540.0,540.0,20.724998609694012,29.305830375536363,14,0.0
6420,540.0,360.0,19.380895463586967,19.809594921131673,13,0.0
6440,720.0,360.0,11.942684190046293,25.08746093535592,12,0.0
6460,360.0,360.0,12.991509873779705,20.466554905866968,12,0.0
6480,720.0,540.0,11.450830165824755,31.360000495593948,14,0.0
6500,720.0,540.0,40.42659921221912,26.655274934212986,14,0.0
6520,540.0,180.0,17.070289371270064,8.171437059612193,14,0.0
6540,360.0,360.0,26.80881267068571,4.840704955843951,14,0.0
6560,720.0,360.0,18.59020248888328,15.731419944601535,15,0.0
6580,360.0,540.0,7.386254826349159,27.39752463627762,15,0.0
6600,720.0,360.0,38.19865177434849,17.64752142097071,14,0.0
6620,540.0,360.0,10.33499012980883,15.149691040702843,12,0.0
6640,360.0,540.0,20.087063047060383,19.0975834259613,12,0.0
6660,720.0,540.0,19.524605643312043,31.12641671145866,12,0.0
6680,720.0,360.0,9.445260321524529,14.926092841248343,13,0.0
6700,720.0,180.0,12.852003203840923,12.92584474153955,12,0.0
6720,360.0,180.0,24.446717292323683,6.362415595791997,14,0.0
6740,720.0,540.0,6.913746318991798,20.240161782157884,13,0.0
6760,900.0,360.0,4.881998313180702,15.383175933993698,13,0.0
6780,540.0,540.0,32.726635307528795,17.90006378981464,13,0.0
6800,720.0,540.0,21.23122744280863,19.941226553313147,15,0.0
6820,540.0,540.0,43.59454830703271,27.27261081196654,15,0.0
6840,720.0,360.0,30.318557320640593,13.493308949591665,13,0.0
6860,720.0,0.0,7.54927358251507,0.0,14,0.0
6880,360.0,540.0,15.427953557571072,27.133723080608736,14,0.0
6900,360.0,360.0,20.284134115081542,24.147708151334275,14,0.0
6920,540.0,180.0,0.0,8.231327380538763,13,0.0
6940,900.0,360.0,8.233105577221522,23.10111823182221,14,0.0
6960,720.0,180.0,26.22258273170246,14.893859289607766,14,0.0
6980,360.0,360.0,7.148524955312041,22.311333493280472,14,0.0
7000,720.0,540.0,20.874611263639054,34.31597572460608,13,0.0
7020,720.0,540.0,12.553723638654901,22.915629501100437,13,0.0
7040,540.0,360.0,6.778773895132417,15.447250909422413,15,0.0
7060,900.0,360.0,21.485937522038512,17.69306806768327,17,0.0
7080,360.0,540.0,6.535657998813349,23.94776470787292,16,0.0
7100,720.0,540.0,20.783975210053995,28.962543618536074,13,0.0
7120,360.0,180.0,21.1680464807273,5.721700729069805,14,0.0
7140,900.0,360.0,17.639054953212963,18.165624139525487,16,0.0
7160,360.0,540.0,17.542659266950977,27.859310873797465,15,0.0
7180,360.0,360.0,22.291641424681075,9.770621368352295,14,0.0
